figure,title,png,pdf,svg,note
00_contact_sheet,Contact sheet,figures\00_contact_sheet.png,,,Quick visual index of all generated report figures.
01_training_reward_and_kl,All selected runs: training reward and KL,figures\01_training_reward_and_kl.png,figures\01_training_reward_and_kl.pdf,figures\01_training_reward_and_kl.svg,Raw and smoothed training reward/KL traces.
01b_training_reward_scaled_to_native_max,Training reward scaled to native maximum,figures\01b_training_reward_scaled_to_native_max.png,figures\01b_training_reward_scaled_to_native_max.pdf,figures\01b_training_reward_scaled_to_native_max.svg,Total reward scaled by each reward mechanism's theoretical maximum.
01c_all_runs_health_answer_quality,All selected runs: answer quality and format health,figures\01c_all_runs_health_answer_quality.png,figures\01c_all_runs_health_answer_quality.pdf,figures\01c_all_runs_health_answer_quality.svg,All selected runs shown together for answer-quality diagnostics.
per_run/R0_reward_and_kl,R0 reward and KL over GRPO training,figures\per_run\R0_reward_and_kl.png,figures\per_run\R0_reward_and_kl.pdf,figures\per_run\R0_reward_and_kl.svg,Per-run total reward and KL with train/eval traces where available.
per_run/R0_health_answer_quality,R0 rollout health and answer quality,figures\per_run\R0_health_answer_quality.png,figures\per_run\R0_health_answer_quality.pdf,figures\per_run\R0_health_answer_quality.svg,"Per-run numeric exact, format, empty response, and no-answer rates."
per_run/R2_reward_and_kl,R2 reward and KL over GRPO training,figures\per_run\R2_reward_and_kl.png,figures\per_run\R2_reward_and_kl.pdf,figures\per_run\R2_reward_and_kl.svg,Per-run total reward and KL with train/eval traces where available.
per_run/R2_health_answer_quality,R2 rollout health and answer quality,figures\per_run\R2_health_answer_quality.png,figures\per_run\R2_health_answer_quality.pdf,figures\per_run\R2_health_answer_quality.svg,"Per-run numeric exact, format, empty response, and no-answer rates."
per_run/R4_format_lr3e6_reward_and_kl,R4_format_lr3e6 reward and KL over GRPO training,figures\per_run\R4_format_lr3e6_reward_and_kl.png,figures\per_run\R4_format_lr3e6_reward_and_kl.pdf,figures\per_run\R4_format_lr3e6_reward_and_kl.svg,Per-run total reward and KL with train/eval traces where available.
per_run/R4_format_lr3e6_health_answer_quality,R4_format_lr3e6 rollout health and answer quality,figures\per_run\R4_format_lr3e6_health_answer_quality.png,figures\per_run\R4_format_lr3e6_health_answer_quality.pdf,figures\per_run\R4_format_lr3e6_health_answer_quality.svg,"Per-run numeric exact, format, empty response, and no-answer rates."
02_checkpoint_exact_accuracy_ci,Held-out exact accuracy,figures\02_checkpoint_exact_accuracy_ci.png,figures\02_checkpoint_exact_accuracy_ci.pdf,figures\02_checkpoint_exact_accuracy_ci.svg,Exact held-out accuracy with uncertainty and best/final markers.
03_checkpoint_eval_three_panel,Checkpoint evaluation panel,figures\03_checkpoint_eval_three_panel.png,figures\03_checkpoint_eval_three_panel.pdf,figures\03_checkpoint_eval_three_panel.svg,Three checkpoint metrics aligned by generated rollouts.
04_training_answer_quality_rates,Training batch answer-quality rates,figures\04_training_answer_quality_rates.png,figures\04_training_answer_quality_rates.pdf,figures\04_training_answer_quality_rates.svg,Training exact/partial/format rates as smoothed trajectories.
05_reward_components,Reward component trajectories,figures\05_reward_components.png,figures\05_reward_components.pdf,figures\05_reward_components.svg,Reward terms separated by compatible reward mechanism.
06_grpo_training_diagnostics,GRPO training diagnostics,figures\06_grpo_training_diagnostics.png,figures\06_grpo_training_diagnostics.pdf,figures\06_grpo_training_diagnostics.svg,Core GRPO variance and rollout health diagnostics.
07_optimization_traces,Optimization traces,figures\07_optimization_traces.png,figures\07_optimization_traces.pdf,figures\07_optimization_traces.svg,Optimization scalar trajectories.
08_best_final_checkpoint_summary,Best and final checkpoint summary,figures\08_best_final_checkpoint_summary.png,figures\08_best_final_checkpoint_summary.pdf,figures\08_best_final_checkpoint_summary.svg,Compact best-versus-final checkpoint comparison.
